subID taskName costBefore costAfterSPE costAfterEPI costAfterGRE
VPMBAUS03 TASK-UA-0500 0.543508 0.552786 0.543904 0.518871 
VPMBAUS21 TASK-UA-0500 0.639934 0.689256 0.656854 0.619284 
VPMBAUS16 TASK-UA-0500 0.510529 0.514545 0.517865 0.492299 
VPMBAUS02 TASK-UA-0500 0.538526 0.537284 0.548794 0.553288 
VPMBAUS06 TASK-UA-0500 0.573529 0.567755 0.564127 0.572267 
VPMBAUS01 TASK-UA-0500 0.570005 0.55562 0.555148 0.547929 
VPMBAUS23 TASK-UA-0500 0.514417 0.528469 0.511227 0.496638 
VPMBAUS05 TASK-UA-0500 0.406462 0.438809 0.431517 0.421169 
VPMBAUS08 TASK-UA-0500 0.651072 0.657216 0.646513 0.608482 
VPMBAUS10 TASK-UA-0500 0.497265 0.480607 0.486661 0.47581 
VPMBAUS12 TASK-UA-0500 0.510601 0.526305 0.528324 0.522263 
VPMBAUS22 TASK-UA-0500 0.538444 0.539398 0.537856 0.507056 
VPMBAUS11 TASK-UA-0750 0.573161 0.581187 0.561894 0.553877 
VPMBAUS15 TASK-UA-0750 0.490478 0.515126 0.500904 0.501218 
VPMBAUS07 TASK-UA-0750 0.662066 0.681285 0.637113 0.626047 
VPMBAUS03 TASK-UA-0750 0.522693 0.517587 0.512949 0.513538 
VPMBAUS21 TASK-UA-0750 0.605547 0.659865 0.6257 0.605893 
VPMBAUS16 TASK-UA-0750 0.501264 0.52754 0.508811 0.486127 
VPMBAUS23 TASK-UA-0750 0.497424 0.507088 0.480718 0.497221 
VPMBAUS02 TASK-UA-0750 0.534844 0.555729 0.539205 0.547312 
VPMBAUS05 TASK-UA-0750 0.409967 0.431803 0.42071 0.417978 
VPMBAUS06 TASK-UA-0750 0.544051 0.538223 0.531833 0.557246 
VPMBAUS01 TASK-UA-0750 0.54144 0.517715 0.524342 0.508755 
VPMBAUS08 TASK-UA-0750 0.608657 0.612743 0.620516 0.581787 
VPMBAUS10 TASK-UA-0750 0.481608 0.484359 0.471273 0.450505 
VPMBAUS12 TASK-UA-0750 0.54415 0.561519 0.523712 0.49928 
VPMBAUS11 TASK-UA-1000 0.542709 0.541583 0.526105 0.518183 
VPMBAUS22 TASK-UA-0750 0.514323 0.508743 0.508597 0.493678 
VPMBAUS15 TASK-UA-1000 0.464207 0.48316 0.474167 0.464878 
VPMBAUS07 TASK-UA-1000 0.613411 0.608594 0.587506 0.568038 
VPMBAUS03 TASK-UA-1000 0.482046 0.478819 0.478567 0.44944 
VPMBAUS16 TASK-UA-1000 0.469979 0.487214 0.467508 0.444477 
VPMBAUS21 TASK-UA-1000 0.569422 0.573912 0.566042 0.552719 
VPMBAUS06 TASK-UA-1000 0.496071 0.496095 0.487848 0.461982 
VPMBAUS23 TASK-UA-1000 0.45634 0.459916 0.44689 0.438525 
VPMBAUS02 TASK-UA-1000 0.515963 0.521391 0.501954 0.492058 
VPMBAUS01 TASK-UA-1000 0.521526 0.479826 0.492666 0.493778 
VPMBAUS05 TASK-UA-1000 0.377217 0.398923 0.388609 0.385019 
VPMBAUS08 TASK-UA-1000 0.569512 0.539686 0.548712 0.538912 
VPMBAUS10 TASK-UA-1000 0.452521 0.443767 0.434119 0.419776 
VPMBAUS11 TASK-UA-2500 0.437651 0.439083 0.392865 0.40507 
VPMBAUS12 TASK-UA-1000 0.462314 0.492904 0.488478 0.494492 
VPMBAUS22 TASK-UA-1000 0.491032 0.477219 0.474393 0.456915 
VPMBAUS15 TASK-UA-2500 0.343825 0.406029 0.360253 0.360656 
VPMBAUS07 TASK-UA-2500 0.426419 0.442036 0.403988 0.387442 
VPMBAUS03 TASK-UA-2500 0.330285 0.352068 0.314856 0.324148 
VPMBAUS21 TASK-UA-2500 0.373717 0.402313 0.340756 0.354238 
VPMBAUS16 TASK-UA-2500 0.329467 0.346409 0.317895 0.326019 
VPMBAUS06 TASK-UA-2500 0.35892 0.343571 0.323732 0.324763 
VPMBAUS23 TASK-UA-2500 0.292664 0.337721 0.292667 0.300129 
VPMBAUS02 TASK-UA-2500 0.337966 0.359355 0.333611 0.349265 
VPMBAUS01 TASK-UA-2500 0.392801 0.376894 0.355619 0.373153 
VPMBAUS05 TASK-UA-2500 0.272978 0.288209 0.262266 0.285853 
VPMBAUS08 TASK-UA-2500 0.414779 0.417747 0.383707 0.430948 
VPMBAUS10 TASK-UA-2500 0.346878 0.304994 0.279055 0.311921 
VPMBAUS22 TASK-UA-2500 0.35825 0.352363 0.333903 0.341442 
VPMBAUS12 TASK-UA-2500 0.354376 0.347293 0.33395 0.353202 
