subID taskName costBefore costAfterSPE costAfterEPI costAfterGRE costAfterGREEPI costAfterGRESPE
VPMBAUS21 TASK-AA-2500 0.372999 0.400038 0.342403 0.366144 0.373354 0.38621
VPMBAUS22 TASK-AA-2500 0.358695 0.353608 0.333857 0.348469 0.35658 0.392096
VPMBAUS07 TASK-AA-2500 0.418044 0.447916 0.40705 0.39325 0.408072 0.405399
VPMBAUS01 TASK-AA-2500 0.389956 0.373795 0.354064 0.381221 0.387054 0.380609
VPMBAUS02 TASK-AA-2500 0.337979 0.355738 0.325186 0.340544 0.342681 0.348624
VPMBAUS10 TASK-AA-2500 0.33252 0.303782 0.284129 0.313188 0.317397 0.320273
VPMBAUS03 TASK-AA-2500 0.32902 0.346786 0.308786 0.320768 0.330235 0.327892
VPMBAUS08 TASK-AA-2500 0.418121 0.412378 0.380403 0.394879 0.401225 0.403981
VPMBAUS15 TASK-AA-2500 0.429495 0.477574 0.438176 0.345892 0.351418 0.355475
VPMBAUS05 TASK-AA-2500 0.272049 0.288055 0.260926 0.280693 0.286001 0.288189
VPMBAUS16 TASK-AA-2500 0.323746 0.338334 0.311027 0.321354 0.329968 0.329852
VPMBAUS11 TASK-UA-0500 0.600442 0.602302 0.591491 0.587042 0.577977 0.585333
VPMBAUS23 TASK-UA-0500 0.514417 0.528469 0.511227 0.496638 0.504845 0.500807
VPMBAUS06 TASK-UA-0500 0.573529 0.567755 0.564127 0.572267 0.573143 0.574745
VPMBAUS07 TASK-UA-0500 0.674954 0.675534 0.660381 0.638165 0.647654 0.639489
VPMBAUS21 TASK-UA-0500 0.639934 0.689256 0.656854 0.619284 0.620835 0.618445
VPMBAUS12 TASK-UA-0500 0.510601 0.526305 0.528324 0.522263 0.536887 0.532525
VPMBAUS01 TASK-UA-0500 0.570005 0.55562 0.555148 0.547929 0.55905 0.547272
VPMBAUS22 TASK-UA-0500 0.538444 0.539398 0.537856 0.507056 0.521769 0.544377
VPMBAUS03 TASK-UA-0500 0.543508 0.552786 0.543904 0.518871 0.53475 0.518545
VPMBAUS08 TASK-UA-0500 0.651072 0.657216 0.646513 0.608482 0.611877 0.601398
VPMBAUS02 TASK-UA-0500 0.538526 0.537284 0.548794 0.553288 0.557506 0.551236
VPMBAUS16 TASK-UA-0500 0.510529 0.514545 0.517865 0.492299 0.509537 0.497674
VPMBAUS15 TASK-UA-0500 0.502831 0.523316 0.520017 0.497355 0.506669 0.502904
VPMBAUS10 TASK-UA-0500 0.497265 0.480607 0.486661 0.47581 0.495434 0.48062
VPMBAUS05 TASK-UA-0500 0.406462 0.438809 0.431517 0.421169 0.435036 0.417354
VPMBAUS11 TASK-UA-0750 0.573161 0.581187 0.561894 0.553877 0.540819 0.551347
VPMBAUS23 TASK-UA-0750 0.497424 0.507088 0.480718 0.497221 0.501912 0.504325
VPMBAUS21 TASK-UA-0750 0.605547 0.659865 0.6257 0.605893 0.607761 0.606125
VPMBAUS06 TASK-UA-0750 0.544051 0.538223 0.531833 0.557246 0.559834 0.561396
VPMBAUS07 TASK-UA-0750 0.662066 0.681285 0.637113 0.626047 0.633035 0.624159
VPMBAUS12 TASK-UA-0750 0.54415 0.561519 0.523712 0.49928 0.510646 0.507793
VPMBAUS01 TASK-UA-0750 0.54144 0.517715 0.524342 0.508755 0.515774 0.507902
VPMBAUS22 TASK-UA-0750 0.514323 0.508743 0.508597 0.493678 0.511639 0.529502
VPMBAUS02 TASK-UA-0750 0.534844 0.555729 0.539205 0.547312 0.553281 0.547746
VPMBAUS03 TASK-UA-0750 0.522693 0.517587 0.512949 0.513538 0.529201 0.51407
VPMBAUS08 TASK-UA-0750 0.608657 0.612743 0.620516 0.581787 0.586402 0.576053
VPMBAUS15 TASK-UA-0750 0.490478 0.515126 0.500904 0.501218 0.511403 0.508045
VPMBAUS16 TASK-UA-0750 0.501264 0.52754 0.508811 0.486127 0.492617 0.487852
VPMBAUS05 TASK-UA-0750 0.409967 0.431803 0.42071 0.417978 0.427809 0.416422
VPMBAUS10 TASK-UA-0750 0.481608 0.484359 0.471273 0.450505 0.466681 0.454527
VPMBAUS11 TASK-UA-1000 0.542709 0.541583 0.526105 0.518183 0.509427 0.51767
VPMBAUS23 TASK-UA-1000 0.45634 0.459916 0.44689 0.438525 0.447733 0.470772
VPMBAUS07 TASK-UA-1000 0.613411 0.608594 0.587506 0.568038 0.574608 0.568316
VPMBAUS21 TASK-UA-1000 0.569422 0.573912 0.566042 0.552719 0.557619 0.554922
VPMBAUS06 TASK-UA-1000 0.496071 0.496095 0.487848 0.461982 0.466704 0.468117
VPMBAUS12 TASK-UA-1000 0.462314 0.492904 0.488478 0.494492 0.506678 0.502795
VPMBAUS01 TASK-UA-1000 0.521526 0.479826 0.492666 0.493778 0.503512 0.495615
VPMBAUS02 TASK-UA-1000 0.515963 0.521391 0.501954 0.492058 0.494854 0.491891
VPMBAUS22 TASK-UA-1000 0.491032 0.477219 0.474393 0.456915 0.472786 0.491744
VPMBAUS15 TASK-UA-1000 0.464207 0.48316 0.474167 0.464878 0.476683 0.471373
VPMBAUS03 TASK-UA-1000 0.482046 0.478819 0.478567 0.44944 0.464723 0.450626
VPMBAUS16 TASK-UA-1000 0.469979 0.487214 0.467508 0.444477 0.457318 0.44908
VPMBAUS08 TASK-UA-1000 0.569512 0.539686 0.548712 0.538912 0.540325 0.534356
VPMBAUS10 TASK-UA-1000 0.452521 0.443767 0.434119 0.419776 0.432553 0.423387
VPMBAUS05 TASK-UA-1000 0.377217 0.398923 0.388609 0.385019 0.394479 0.382022
VPMBAUS11 TASK-UA-2500 0.437651 0.439083 0.392865 0.40507 0.403547 0.418426
VPMBAUS07 TASK-UA-2500 0.426419 0.442036 0.403988 0.387442 0.401995 0.39895
VPMBAUS23 TASK-UA-2500 0.292664 0.337721 0.292667 0.300129 0.310548 0.364293
VPMBAUS06 TASK-UA-2500 0.35892 0.343571 0.323732 0.324763 0.331939 0.333518
VPMBAUS21 TASK-UA-2500 0.373717 0.402313 0.340756 0.354238 0.360872 0.374261
VPMBAUS12 TASK-UA-2500 0.354376 0.347293 0.33395 0.353202 0.364578 0.366486
VPMBAUS01 TASK-UA-2500 0.392801 0.376894 0.355619 0.373153 0.37818 0.373483
VPMBAUS02 TASK-UA-2500 0.337966 0.359355 0.333611 0.349265 0.352125 0.357373
VPMBAUS22 TASK-UA-2500 0.35825 0.352363 0.333903 0.341442 0.349569 0.384266
VPMBAUS15 TASK-UA-2500 0.343825 0.406029 0.360253 0.360656 0.364476 0.369725
VPMBAUS03 TASK-UA-2500 0.330285 0.352068 0.314856 0.324148 0.333191 0.332471
VPMBAUS16 TASK-UA-2500 0.329467 0.346409 0.317895 0.326019 0.333494 0.334069
VPMBAUS08 TASK-UA-2500 0.414779 0.417747 0.383707 0.430948 0.434442 0.439072
VPMBAUS10 TASK-UA-2500 0.346878 0.304994 0.279055 0.311921 0.314315 0.320479
VPMBAUS05 TASK-UA-2500 0.272978 0.288209 0.262266 0.285853 0.290258 0.292923
